ID,family,genus,species,taxa,max_lat,min_lat,mid_lat,lat_range,max_size,min_depth,max_depth,midpoint_depth,hab_type
270,Arcidae,Anadara (Anadara),tuberculosa,Anadara (Anadara)_tuberculosa,33.7,-3.5,15.1,37.2,92,0,5,,0
271,Arcidae,Anadara (Larkinia),multicostata,Anadara (Larkinia)_multicostata,34,-1,16.5,35,125,0,230,,0
600,Arcidae,Anadara,adamsi,Anadara_adamsi,27.9,-2.2,12.85,30.1,30,8,54,31,
601,Arcidae,Anadara,aequatorialis,Anadara_aequatorialis,30.3,-3.7,13.3,34,48,0,73,36.5,
602,Arcidae,Anadara,biangulata,Anadara_biangulata,27.9,-3.7,12.1,31.6,68,10,70,40,
603,Arcidae,Anadara,bifrons,Anadara_bifrons,29.8,-3.5,13.15,33.3,60,30,45,37.5,
604,Arcidae,Anadara,cepoides,Anadara_cepoides,29.8,1,15.4,28.8,90,10,84,47,
605,Arcidae,Anadara,concinna,Anadara_concinna,31,1.1,16.05,29.9,54,6,150,78,
606,Arcidae,Anadara,emarginata,Anadara_emarginata,28.8,-5.9,11.45,34.7,51,0,80,40,
607,Arcidae,Anadara,esmeralda,Anadara_esmeralda,27.9,-3.6,12.15,31.5,63,35,73,54,
608,Arcidae,Anadara,formosa,Anadara_formosa,28.9,-5.1,11.9,34,121,10,100,55,
609,Arcidae,Anadara,grandis,Anadara_grandis,27.9,-5.6,11.15,33.5,156,0,9,4.5,
610,Arcidae,Anadara,hyphalopilema,Anadara_hyphalopilema,27.9,-3.1,12.4,31,83,60,90,75,
611,Arcidae,Anadara,labiosa,Anadara_labiosa,23.2,-3.5,9.85,26.7,61,20,50,35,
612,Arcidae,Anadara,mazatlantica,Anadara_mazatlantica,27.9,-4.1,11.9,32,87,7,220,113.5,
613,Arcidae,Anadara,multicostata,Anadara_multicostata,34,-1,16.5,35,125,0,80,40,
614,Arcidae,Anadara,nux,Anadara_nux,26.7,-5.6,10.55,32.3,24,4,73,38.5,
615,Arcidae,Anadara,obesa,Anadara_obesa,27.9,-4.7,11.6,32.6,43,10,112,61,
616,Arcidae,Anadara,perlabiata,Anadara_perlabiata,27.9,-4.7,11.6,32.6,50,0,82,41,
617,Arcidae,Anadara,reinharti,Anadara_reinharti,31.3,-3.5,13.9,34.8,68,2,91,46.5,
618,Arcidae,Anadara,similis,Anadara_similis,23.9,-3.6,10.15,27.5,66,0,,0,
949,Mactridae,Anatina,cyprinus,Anatina_cyprinus,27.9,-2.2,12.85,30.1,57,15,100,57.5,
731,Lucinidae,Anodontia,edentuloides,Anodontia_edentuloides,30.5,-1.2,14.65,31.7,52,9,165,87,
377,Anomiidae,Anomia (Anomia),peruviana,Anomia (Anomia)_peruviana,36.6,-5.9,15.35,42.5,85,0,120,,0
811,Cardiidae,Apiocardia,obovale,Apiocardia_obovale,24.6,-4.1,10.25,28.7,25,0,100,50,
447,Arcidae,Arca,fernandezensis,Arca_fernandezensis,-33.7,-33.7,-33.7,0,40,37,73,55,
592,Arcidae,Arca,mutabilis,Arca_mutabilis,31.4,-5.1,13.15,36.5,44,0,60,30,
593,Arcidae,Arca,pacifica,Arca_pacifica,31.4,-5.1,13.15,36.5,128,0,137,68.5,
594,Arcidae,Arca,truncata,Arca_truncata,9.9,-1,4.45,10.9,78,58,,29,
917,Vesicomyidae,Archivesica,gigas,Archivesica_gigas,58.8,10,34.4,48.8,125,192,2050,1121,
822,Chamidae,Arcinella,californica,Arcinella_californica,31.3,-3.6,13.85,34.9,74,10,77,43.5,
278,Noetiidae,Arcopsis,solida,Arcopsis_solida,32.7,-9.1,11.8,41.8,15,5,5,5,0
692,Chlamydinae,Argopecten,purpuratus,Argopecten_purpuratus,-5.1,-33.1,-19.1,28,159,0,95,47.5,
357,Pectinidae,Argopecten,ventricosus,Argopecten_ventricosus,34.4,-5.8,14.3,40.2,95,1,55,28,Soft (mud and sand)
965,Astaridae,Astarte,arctica,Astarte_arctica,71,48.4,59.7,22.6,50,20,300,160,
966,Astaridae,Astarte,borealis,Astarte_borealis,71.4,54.5,62.95,16.9,55,0,50,25,
967,Astaridae,Astarte,compacta,Astarte_compacta,60.8,47.5,54.15,13.3,30,10,200,105,
968,Astaridae,Astarte,elliptica,Astarte_elliptica,71.2,47.5,59.35,23.7,35,20,250,135,
969,Astaridae,Astarte,esquimalti,Astarte_esquimalti,71,48,59.5,23,23,50,200,125,
